team1,team2,league,num_games,num_won,win_ratio
Parma,Sassuolo,Italy,3,1,0.333333333333333
Parma,Siena,Italy,1,1,1
Parma,Torino,Italy,4,3,0.75
Parma,Udinese,Italy,4,0,0
QPR,Arsenal,England,2,0,0
QPR,Aston Villa,England,1,0,0
QPR,Burnley,England,1,0,0
QPR,Chelsea,England,1,0,0
QPR,Crystal Palace,England,1,0,0
QPR,Everton,England,2,0,0
QPR,Hull,England,1,0,0
QPR,Leicester City,England,2,1,0.5
QPR,Liverpool,England,2,0,0
QPR,Manchester City,England,1,0,0
QPR,Newcastle,England,1,1,1
QPR,Southampton,England,1,0,0
QPR,Stoke City,England,2,0,0
QPR,Swansea,England,1,0,0
QPR,Tottenham,England,1,0,0
QPR,West Brom,England,2,2,1
Racing Santander,Athletic Bilbao,Spain,1,0,0
Racing Santander,Espanyol,Spain,1,0,0
Racing Santander,Getafe,Spain,2,0,0
Racing Santander,Levante,Spain,1,0,0
Racing Santander,Malaga,Spain,1,0,0
Racing Santander,Mallorca,Spain,1,0,0
Racing Santander,Osasuna,Spain,1,0,0
Racing Santander,Rayo Vallecano,Spain,2,0,0
Racing Santander,Real Betis,Spain,1,0,0
Racing Santander,Real Zaragoza,Spain,1,0,0
Racing Santander,Sevilla,Spain,1,0,0
Racing Santander,Sporting Gijon,Spain,1,0,0
Racing Santander,Valencia,Spain,2,0,0
Racing Santander,Villarreal,Spain,1,0,0
Rayo Vallecano,Almeria,Spain,1,1,1
Rayo Vallecano,Athletic Bilbao,Spain,6,2,0.333333333333333
Rayo Vallecano,Atletico Madrid,Spain,5,1,0.2
Rayo Vallecano,Barcelona,Spain,4,0,0
Rayo Vallecano,Celta Vigo,Spain,2,1,0.5
Rayo Vallecano,Cordoba,Spain,1,1,1
Rayo Vallecano,Deportivo La Coruna,Spain,5,1,0.2
Rayo Vallecano,Eibar,Spain,2,1,0.5
Rayo Vallecano,Elche,Spain,1,0,0
Rayo Vallecano,Espanyol,Spain,7,0,0
Rayo Vallecano,Getafe,Spain,5,3,0.6
Rayo Vallecano,Granada,Spain,4,3,0.75
Rayo Vallecano,Levante,Spain,6,3,0.5
Rayo Vallecano,Malaga,Spain,5,2,0.4
Rayo Vallecano,Mallorca,Spain,1,0,0
Rayo Vallecano,Osasuna,Spain,2,0,0
Rayo Vallecano,Racing Santander,Spain,2,1,0.5
Rayo Vallecano,Real Betis,Spain,4,2,0.5
Rayo Vallecano,Real Madrid,Spain,4,1,0.25
Rayo Vallecano,Real Sociedad,Spain,4,1,0.25
Rayo Vallecano,Real Valladolid,Spain,3,0,0
Rayo Vallecano,Real Zaragoza,Spain,1,1,1
Rayo Vallecano,Sevilla,Spain,6,1,0.166666666666667
Rayo Vallecano,Sporting Gijon,Spain,4,1,0.25
Rayo Vallecano,Valencia,Spain,4,0,0
Rayo Vallecano,Villarreal,Spain,4,1,0.25
RB Leipzig,Bayer Leverkusen,Germany,1,1,1
RB Leipzig,Borussia Monchengladbach,Germany,1,0,0
RB Leipzig,FC Augsburg,Germany,1,1,1
RB Leipzig,FC Cologne,Germany,1,0,0
RB Leipzig,Mainz,Germany,1,1,1
RB Leipzig,SC Freiburg,Germany,1,1,1
RB Leipzig,Schalke 04,Germany,1,1,1
RB Leipzig,TSG Hoffenheim,Germany,1,0,0
RB Leipzig,Werder Bremen,Germany,1,1,1
Real Betis,Almeria,Spain,1,0,0
Real Betis,Athletic Bilbao,Spain,7,3,0.428571428571429
Real Betis,Atletico Madrid,Spain,3,0,0
Real Betis,Barcelona,Spain,7,0,0
Real Betis,Celta Vigo,Spain,5,0,0
Real Betis,Deportivo La Coruna,Spain,4,1,0.25
Real Betis,Eibar,Spain,2,0,0
Real Betis,Elche,Spain,1,0,0
Real Betis,Espanyol,Spain,2,0,0
Real Betis,Getafe,Spain,3,1,0.333333333333333
Real Betis,Granada,Spain,5,1,0.2
Real Betis,Levante,Spain,3,1,0.333333333333333
Real Betis,Malaga,Spain,2,0,0
Real Betis,Mallorca,Spain,1,0,0
Real Betis,Osasuna,Spain,5,2,0.4
Real Betis,Racing Santander,Spain,1,0,0
Real Betis,Rayo Vallecano,Spain,4,0,0
Real Betis,Real Madrid,Spain,6,0,0
Real Betis,Real Sociedad,Spain,5,0,0
Real Betis,Real Valladolid,Spain,1,1,1
Real Betis,Real Zaragoza,Spain,2,2,1
Real Betis,Sevilla,Spain,4,1,0.25
Real Betis,Sporting Gijon,Spain,3,1,0.333333333333333
Real Betis,Valencia,Spain,3,3,1
Real Betis,Villarreal,Spain,3,1,0.333333333333333
Real Madrid,Alaves,Spain,1,1,1
Real Madrid,Almeria,Spain,1,1,1
Real Madrid,Athletic Bilbao,Spain,7,6,0.857142857142857
Real Madrid,Atletico Madrid,Spain,6,3,0.5
Real Madrid,Barcelona,Spain,8,3,0.375
Real Madrid,Celta Vigo,Spain,5,5,1
Real Madrid,Cordoba,Spain,1,1,1
Real Madrid,Deportivo La Coruna,Spain,4,4,1
Real Madrid,Eibar,Spain,1,0,0
Real Madrid,Elche,Spain,2,2,1
Real Madrid,Espanyol,Spain,4,2,0.5
Real Madrid,Getafe,Spain,6,5,0.833333333333333
Real Madrid,Granada,Spain,3,3,1
Real Madrid,Las Palmas,Spain,3,2,0.666666666666667
Real Madrid,Levante,Spain,5,5,1
Real Madrid,Malaga,Spain,6,3,0.5
Real Madrid,Mallorca,Spain,3,3,1
Real Madrid,Osasuna,Spain,5,4,0.8
Real Madrid,Rayo Vallecano,Spain,4,3,0.75
Real Madrid,Real Betis,Spain,6,5,0.833333333333333
Real Madrid,Real Sociedad,Spain,6,5,0.833333333333333
Real Madrid,Real Valladolid,Spain,3,2,0.666666666666667
Real Madrid,Real Zaragoza,Spain,2,1,0.5
Real Madrid,Sevilla,Spain,8,5,0.625
Real Madrid,Sporting Gijon,Spain,3,3,1
Real Madrid,Valencia,Spain,7,2,0.285714285714286
Real Madrid,Villarreal,Spain,5,1,0.2
Real Sociedad,Almeria,Spain,3,0,0
Real Sociedad,Athletic Bilbao,Spain,6,1,0.166666666666667
Real Sociedad,Atletico Madrid,Spain,2,0,0
Real Sociedad,Barcelona,Spain,7,2,0.285714285714286
Real Sociedad,Celta Vigo,Spain,7,2,0.285714285714286
Real Sociedad,Cordoba,Spain,2,1,0.5
Real Sociedad,Deportivo La Coruna,Spain,4,0,0
Real Sociedad,Eibar,Spain,2,1,0.5
Real Sociedad,Elche,Spain,1,0,0
Real Sociedad,Espanyol,Spain,6,2,0.333333333333333
Real Sociedad,Getafe,Spain,6,0,0
Real Sociedad,Granada,Spain,5,1,0.2
Real Sociedad,Las Palmas,Spain,1,1,1
Real Sociedad,Levante,Spain,6,0,0
Real Sociedad,Malaga,Spain,7,3,0.428571428571429
Real Sociedad,Mallorca,Spain,1,0,0
Real Sociedad,Osasuna,Spain,1,0,0
Real Sociedad,Rayo Vallecano,Spain,4,2,0.5
Real Sociedad,Real Betis,Spain,5,3,0.6
Real Sociedad,Real Madrid,Spain,6,1,0.166666666666667
Real Sociedad,Real Valladolid,Spain,3,1,0.333333333333333
Real Sociedad,Real Zaragoza,Spain,1,1,1
Real Sociedad,Sevilla,Spain,5,4,0.8
Real Sociedad,Sporting Gijon,Spain,4,3,0.75
Real Sociedad,Valencia,Spain,5,4,0.8
Real Sociedad,Villarreal,Spain,5,0,0
Real Valladolid,Athletic Bilbao,Spain,3,0,0
Real Valladolid,Atletico Madrid,Spain,1,0,0
Real Valladolid,Barcelona,Spain,3,0,0
Real Valladolid,Celta Vigo,Spain,2,0,0
Real Valladolid,Elche,Spain,1,0,0
Real Valladolid,Espanyol,Spain,2,0,0
Real Valladolid,Getafe,Spain,2,1,0.5
Real Valladolid,Granada,Spain,1,0,0
Real Valladolid,Levante,Spain,3,0,0
Real Valladolid,Malaga,Spain,4,0,0
Real Valladolid,Mallorca,Spain,2,1,0.5
Real Valladolid,Osasuna,Spain,1,0,0
Real Valladolid,Rayo Vallecano,Spain,3,2,0.666666666666667
Real Valladolid,Real Betis,Spain,1,0,0
Real Valladolid,Real Madrid,Spain,3,0,0
Real Valladolid,Real Sociedad,Spain,3,0,0
Real Valladolid,Sevilla,Spain,4,1,0.25
Real Valladolid,Valencia,Spain,3,0,0
Real Valladolid,Villarreal,Spain,1,0,0
Real Zaragoza,Athletic Bilbao,Spain,2,0,0
Real Zaragoza,Atletico Madrid,Spain,2,0,0
Real Zaragoza,Barcelona,Spain,2,0,0
Real Zaragoza,Celta Vigo,Spain,1,0,0
Real Zaragoza,Deportivo La Coruna,Spain,2,1,0.5
Real Zaragoza,Espanyol,Spain,2,2,1
Real Zaragoza,Getafe,Spain,1,0,0
Real Zaragoza,Granada,Spain,1,1,1
Real Zaragoza,Malaga,Spain,2,0,0
Real Zaragoza,Mallorca,Spain,2,1,0.5
Real Zaragoza,Osasuna,Spain,2,1,0.5
Real Zaragoza,Racing Santander,Spain,1,1,1
Real Zaragoza,Rayo Vallecano,Spain,1,0,0
Real Zaragoza,Real Betis,Spain,2,0,0
Real Zaragoza,Real Madrid,Spain,2,0,0
Real Zaragoza,Real Sociedad,Spain,1,0,0
Real Zaragoza,Sevilla,Spain,1,1,1
Real Zaragoza,Sporting Gijon,Spain,2,1,0.5
Real Zaragoza,Valencia,Spain,2,1,0.5
Real Zaragoza,Villarreal,Spain,2,1,0.5
Sampdoria,AC Milan,Italy,3,0,0
Sampdoria,AS Roma,Italy,5,2,0.4
Sampdoria,Atalanta,Italy,4,2,0.5
Sampdoria,Bologna,Italy,4,0,0
Sampdoria,Cagliari,Italy,4,0,0
Sampdoria,Carpi,Italy,2,1,0.5
Sampdoria,Catania,Italy,3,0,0
Sampdoria,Cesena,Italy,1,0,0
Sampdoria,Chievo Verona,Italy,6,2,0.333333333333333
Sampdoria,Crotone,Italy,1,0,0
Sampdoria,Empoli,Italy,3,0,0
Sampdoria,Fiorentina,Italy,5,1,0.2
Sampdoria,Genoa,Italy,5,3,0.6
Sampdoria,Hellas Verona,Italy,3,2,0.666666666666667
Sampdoria,Internazionale,Italy,4,0,0
Sampdoria,Juventus,Italy,6,2,0.333333333333333
Sampdoria,Lazio,Italy,4,1,0.25
Sampdoria,Livorno,Italy,2,2,1
Sampdoria,Napoli,Italy,6,0,0
Sampdoria,Palermo,Italy,4,0,0
Sampdoria,Parma,Italy,3,0,0
Sampdoria,Sassuolo,Italy,5,2,0.4
Sampdoria,Siena,Italy,1,1,1
Sampdoria,Torino,Italy,4,0,0
Sampdoria,Udinese,Italy,4,1,0.25
Sampdoria,US Pescara,Italy,2,1,0.5
Sassuolo,AC Milan,Italy,6,3,0.5
Sassuolo,AS Roma,Italy,4,0,0
Sassuolo,Atalanta,Italy,3,0,0
Sassuolo,Bologna,Italy,2,1,0.5
Sassuolo,Cagliari,Italy,5,1,0.2
Sassuolo,Carpi,Italy,1,1,1
Sassuolo,Catania,Italy,1,1,1
Sassuolo,Cesena,Italy,2,1,0.5
Sassuolo,Chievo Verona,Italy,3,0,0
Sassuolo,Crotone,Italy,1,1,1
Sassuolo,Empoli,Italy,3,2,0.666666666666667
Sassuolo,Fiorentina,Italy,5,1,0.2
Sassuolo,Frosinone,Italy,1,0,0
Sassuolo,Genoa,Italy,4,2,0.5
Sassuolo,Hellas Verona,Italy,4,1,0.25
Sassuolo,Internazionale,Italy,1,1,1
Sassuolo,Juventus,Italy,3,0,0
Sassuolo,Lazio,Italy,5,1,0.2
Sassuolo,Livorno,Italy,2,0,0
Sassuolo,Napoli,Italy,4,1,0.25
Sassuolo,Palermo,Italy,3,1,0.333333333333333
Sassuolo,Parma,Italy,3,2,0.666666666666667
Sassuolo,Sampdoria,Italy,5,2,0.4
Sassuolo,Torino,Italy,3,1,0.333333333333333
Sassuolo,Udinese,Italy,3,0,0
Sassuolo,US Pescara,Italy,2,2,1
SC Freiburg,Bayer Leverkusen,Germany,2,1,0.5
SC Freiburg,Bayern Munich,Germany,1,0,0
SC Freiburg,Borussia Dortmund,Germany,4,0,0
SC Freiburg,Borussia Monchengladbach,Germany,3,2,0.666666666666667
SC Freiburg,Eintracht Frankfurt,Germany,3,1,0.333333333333333
SC Freiburg,FC Augsburg,Germany,5,1,0.2
SC Freiburg,FC Cologne,Germany,1,1,1
SC Freiburg,FC Ingolstadt 04,Germany,1,1,1
SC Freiburg,Hamburg SV,Germany,4,1,0.25
SC Freiburg,Hannover 96,Germany,6,3,0.5
SC Freiburg,Hertha Berlin,Germany,4,1,0.25
SC Freiburg,Mainz,Germany,5,0,0
SC Freiburg,Nurnberg,Germany,3,2,0.666666666666667
SC Freiburg,RB Leipzig,Germany,1,0,0
SC Freiburg,SC Paderborn,Germany,1,0,0
SC Freiburg,Schalke 04,Germany,5,2,0.4
SC Freiburg,SpVgg Greuther Furth,Germany,1,1,1
SC Freiburg,TSG Hoffenheim,Germany,6,1,0.166666666666667
SC Freiburg,VfB Stuttgart,Germany,5,0,0
SC Freiburg,VfL Wolfsburg,Germany,3,0,0
SC Freiburg,Werder Bremen,Germany,7,3,0.428571428571429
SC Paderborn,Bayer Leverkusen,Germany,1,0,0
SC Paderborn,Borussia Dortmund,Germany,1,0,0
SC Paderborn,Borussia Monchengladbach,Germany,1,0,0
SC Paderborn,Eintracht Frankfurt,Germany,1,1,1
SC Paderborn,FC Augsburg,Germany,1,1,1
SC Paderborn,Hannover 96,Germany,1,1,1
SC Paderborn,Hertha Berlin,Germany,1,1,1
SC Paderborn,Mainz,Germany,1,0,0
SC Paderborn,SC Freiburg,Germany,1,0,0
SC Paderborn,Schalke 04,Germany,1,0,0
SC Paderborn,VfB Stuttgart,Germany,1,0,0
SC Paderborn,VfL Wolfsburg,Germany,2,0,0
SC Paderborn,Werder Bremen,Germany,1,0,0
Schalke 04,Bayer Leverkusen,Germany,4,1,0.25
Schalke 04,Bayern Munich,Germany,4,0,0
Schalke 04,Borussia Dortmund,Germany,7,3,0.428571428571429
Schalke 04,Borussia Monchengladbach,Germany,5,1,0.2
Schalke 04,Eintracht Frankfurt,Germany,3,0,0
Schalke 04,FC Augsburg,Germany,8,4,0.5
Schalke 04,FC Cologne,Germany,4,2,0.5
Schalke 04,FC Ingolstadt 04,Germany,1,0,0
Schalke 04,Fortuna Dusseldorf,Germany,2,1,0.5
Schalke 04,Hamburg SV,Germany,6,4,0.666666666666667
Schalke 04,Hannover 96,Germany,5,3,0.6
Schalke 04,Hertha Berlin,Germany,3,2,0.666666666666667
Schalke 04,Kaiserslautern,Germany,2,1,0.5
Schalke 04,Mainz,Germany,6,3,0.5
Schalke 04,Nurnberg,Germany,2,1,0.5
Schalke 04,RB Leipzig,Germany,1,0,0
Schalke 04,SC Freiburg,Germany,5,2,0.4
Schalke 04,SC Paderborn,Germany,1,1,1
Schalke 04,SpVgg Greuther Furth,Germany,1,0,0
Schalke 04,SV Darmstadt 98,Germany,2,1,0.5
Schalke 04,TSG Hoffenheim,Germany,7,2,0.285714285714286
Schalke 04,TSV Eintracht Braunschweig,Germany,2,2,1
Schalke 04,VfB Stuttgart,Germany,6,2,0.333333333333333
Schalke 04,VfL Wolfsburg,Germany,5,3,0.6
Schalke 04,Werder Bremen,Germany,7,4,0.571428571428571
Sevilla,Alaves,Spain,1,1,1
Sevilla,Almeria,Spain,3,3,1
Sevilla,Athletic Bilbao,Spain,6,1,0.166666666666667
Sevilla,Atletico Madrid,Spain,3,0,0
Sevilla,Barcelona,Spain,8,1,0.125
Sevilla,Celta Vigo,Spain,4,1,0.25
Sevilla,Cordoba,Spain,1,1,1
Sevilla,Deportivo La Coruna,Spain,6,4,0.666666666666667
Sevilla,Eibar,Spain,3,1,0.333333333333333
Sevilla,Elche,Spain,2,1,0.5
Sevilla,Espanyol,Spain,7,5,0.714285714285714
Sevilla,Getafe,Spain,5,1,0.2
Sevilla,Granada,Spain,7,1,0.142857142857143
Sevilla,Las Palmas,Spain,1,1,1
Sevilla,Leganes,Spain,1,1,1
Sevilla,Levante,Spain,5,2,0.4
Sevilla,Malaga,Spain,7,3,0.428571428571429
Sevilla,Mallorca,Spain,3,2,0.666666666666667
Sevilla,Osasuna,Spain,4,3,0.75
Sevilla,Racing Santander,Spain,1,0,0
Sevilla,Rayo Vallecano,Spain,6,4,0.666666666666667
Sevilla,Real Betis,Spain,4,1,0.25
Sevilla,Real Madrid,Spain,8,3,0.375
Sevilla,Real Sociedad,Spain,5,0,0
Sevilla,Real Valladolid,Spain,4,1,0.25
Sevilla,Real Zaragoza,Spain,1,0,0
Sevilla,Sporting Gijon,Spain,3,1,0.333333333333333
Sevilla,Valencia,Spain,7,3,0.428571428571429
Sevilla,Villarreal,Spain,6,3,0.5
Siena,AC Milan,Italy,3,0,0
Siena,AS Roma,Italy,2,0,0
Siena,Atalanta,Italy,3,1,0.333333333333333
Siena,Bologna,Italy,2,0,0
Siena,Cagliari,Italy,1,0,0
Siena,Catania,Italy,1,0,0
Siena,Chievo Verona,Italy,2,1,0.5
Siena,Fiorentina,Italy,2,0,0
Siena,Genoa,Italy,2,1,0.5
Siena,Internazionale,Italy,2,1,0.5
Siena,Juventus,Italy,1,0,0
Siena,Lazio,Italy,2,0,0
Siena,Lecce,Italy,1,0,0
Siena,Napoli,Italy,3,0,0
Siena,Novara,Italy,1,0,0
Siena,Palermo,Italy,2,2,1
Siena,Parma,Italy,1,0,0
Siena,Sampdoria,Italy,1,0,0
Siena,Torino,Italy,1,0,0
Siena,Udinese,Italy,1,0,0
Siena,US Pescara,Italy,1,1,1
Sochaux,AC Ajaccio,France,2,0,0
Sochaux,AJ Auxerre,France,1,0,0
Sochaux,AS Monaco,France,2,0,0
Sochaux,AS Nancy Lorraine,France,3,1,0.333333333333333
Sochaux,Bastia,France,2,0,0
Sochaux,Bordeaux,France,3,0,0
Sochaux,Brest,France,2,1,0.5
Sochaux,Caen,France,2,1,0.5
Sochaux,Evian Thonon Gaillard,France,5,2,0.4
Sochaux,Guingamp,France,1,0,0
Sochaux,Lille,France,3,0,0
Sochaux,Lorient,France,3,0,0
Sochaux,Lyon,France,5,2,0.4
Sochaux,Marseille,France,3,1,0.333333333333333
Sochaux,Montpellier,France,4,0,0
Sochaux,Nice,France,1,0,0
Sochaux,Paris Saint-Germain,France,3,1,0.333333333333333
Sochaux,St Etienne,France,3,1,0.333333333333333
Sochaux,Stade Rennes,France,4,2,0.5
Sochaux,Toulouse,France,2,0,0
Sochaux,Troyes,France,1,1,1
Sochaux,Valenciennes,France,4,0,0
Southampton,Arsenal,England,2,0,0
Southampton,Aston Villa,England,5,2,0.4
Southampton,Bournemouth,England,1,1,1
Southampton,Burnley,England,1,1,1
Southampton,Chelsea,England,5,1,0.2
Southampton,Crystal Palace,England,2,2,1
Southampton,Everton,England,2,0,0
Southampton,Hull,England,2,1,0.5
Southampton,Leicester City,England,1,0,0
Southampton,Liverpool,England,3,1,0.333333333333333
Southampton,Manchester City,England,5,1,0.2
Southampton,Manchester Utd,England,4,0,0
Southampton,Newcastle,England,4,2,0.5
Southampton,Norwich City,England,1,1,1
Southampton,QPR,England,1,1,1
Southampton,Stoke City,England,4,1,0.25
Southampton,Sunderland,England,4,0,0
Southampton,Swansea,England,1,1,1
Southampton,Tottenham,England,5,1,0.2
Southampton,Watford,England,1,0,0
Southampton,West Brom,England,1,0,0
Southampton,West Ham,England,3,1,0.333333333333333
Sporting Gijon,Athletic Bilbao,Spain,3,1,0.333333333333333
Sporting Gijon,Atletico Madrid,Spain,2,1,0.5
Sporting Gijon,Barcelona,Spain,2,0,0
Sporting Gijon,Celta Vigo,Spain,2,0,0
Sporting Gijon,Deportivo La Coruna,Spain,3,1,0.333333333333333
Sporting Gijon,Eibar,Spain,1,0,0
Sporting Gijon,Espanyol,Spain,4,1,0.25
Sporting Gijon,Getafe,Spain,3,1,0.333333333333333
Sporting Gijon,Granada,Spain,2,0,0
Sporting Gijon,Las Palmas,Spain,2,1,0.5
Sporting Gijon,Leganes,Spain,1,1,1
Sporting Gijon,Malaga,Spain,2,1,0.5
Sporting Gijon,Mallorca,Spain,2,1,0.5
Sporting Gijon,Osasuna,Spain,3,1,0.333333333333333
Sporting Gijon,Racing Santander,Spain,1,0,0
Sporting Gijon,Rayo Vallecano,Spain,4,2,0.5
Sporting Gijon,Real Betis,Spain,3,1,0.333333333333333
Sporting Gijon,Real Madrid,Spain,3,0,0
Sporting Gijon,Real Sociedad,Spain,4,1,0.25
Sporting Gijon,Real Zaragoza,Spain,2,0,0
Sporting Gijon,Sevilla,Spain,3,1,0.333333333333333
Sporting Gijon,Valencia,Spain,1,0,0
Sporting Gijon,Villarreal,Spain,2,0,0
SpVgg Greuther Furth,Borussia Dortmund,Germany,2,0,0
SpVgg Greuther Furth,Borussia Monchengladbach,Germany,1,0,0
SpVgg Greuther Furth,Eintracht Frankfurt,Germany,2,0,0
SpVgg Greuther Furth,FC Augsburg,Germany,2,0,0
SpVgg Greuther Furth,Hamburg SV,Germany,1,0,0
SpVgg Greuther Furth,Hannover 96,Germany,1,0,0
SpVgg Greuther Furth,SC Freiburg,Germany,1,0,0
SpVgg Greuther Furth,Schalke 04,Germany,1,1,1
SpVgg Greuther Furth,TSG Hoffenheim,Germany,1,0,0
SpVgg Greuther Furth,VfL Wolfsburg,Germany,1,0,0
SpVgg Greuther Furth,Werder Bremen,Germany,2,0,0
St Etienne,AC Ajaccio,France,3,2,0.666666666666667
St Etienne,AJ Auxerre,France,1,0,0
St Etienne,Angers,France,2,2,1
St Etienne,AS Monaco,France,5,0,0
St Etienne,AS Nancy Lorraine,France,1,0,0
St Etienne,Bastia,France,2,1,0.5
St Etienne,Bordeaux,France,7,3,0.428571428571429
St Etienne,Brest,France,2,1,0.5
St Etienne,Caen,France,2,1,0.5
St Etienne,Dijon FCO,France,2,1,0.5
St Etienne,Evian Thonon Gaillard,France,4,3,0.75
St Etienne,Guingamp,France,1,1,1
St Etienne,Lens,France,1,0,0
St Etienne,Lille,France,6,1,0.166666666666667
St Etienne,Lorient,France,4,2,0.5
St Etienne,Lyon,France,4,1,0.25
St Etienne,Marseille,France,5,0,0
St Etienne,Metz,France,1,1,1
St Etienne,Montpellier,France,5,3,0.6
St Etienne,Nantes,France,2,1,0.5
St Etienne,Nice,France,4,0,0
St Etienne,Paris Saint-Germain,France,5,1,0.2
St Etienne,Sochaux,France,3,2,0.666666666666667
St Etienne,Stade de Reims,France,5,2,0.4
St Etienne,Stade Rennes,France,4,0,0
St Etienne,Toulouse,France,6,0,0
St Etienne,Troyes,France,1,0,0
St Etienne,Valenciennes,France,2,2,1
Stade de Reims,AC Ajaccio,France,3,1,0.333333333333333
Stade de Reims,Angers,France,1,1,1
Stade de Reims,AS Monaco,France,5,0,0
Stade de Reims,AS Nancy Lorraine,France,1,1,1
Stade de Reims,Bastia,France,5,3,0.6
Stade de Reims,Bordeaux,France,3,2,0.666666666666667
Stade de Reims,Caen,France,1,0,0
Stade de Reims,Evian Thonon Gaillard,France,5,2,0.4
Stade de Reims,GFC Ajaccio,France,2,0,0
Stade de Reims,Guingamp,France,4,2,0.5
Stade de Reims,Lens,France,1,0,0
Stade de Reims,Lille,France,4,2,0.5
Stade de Reims,Lorient,France,4,1,0.25
Stade de Reims,Lyon,France,2,0,0
Stade de Reims,Marseille,France,3,1,0.333333333333333
Stade de Reims,Montpellier,France,6,1,0.166666666666667
Stade de Reims,Nantes,France,3,2,0.666666666666667
Stade de Reims,Nice,France,2,1,0.5
Stade de Reims,Paris Saint-Germain,France,4,0,0
Stade de Reims,St Etienne,France,5,0,0
Stade de Reims,Stade Rennes,France,5,1,0.2
Stade de Reims,Toulouse,France,6,0,0
Stade de Reims,Troyes,France,4,0,0
Stade de Reims,Valenciennes,France,2,1,0.5
Stade Rennes,AC Ajaccio,France,4,2,0.5
Stade Rennes,AJ Auxerre,France,1,0,0
Stade Rennes,Angers,France,1,0,0
Stade Rennes,AS Monaco,France,3,0,0
Stade Rennes,AS Nancy Lorraine,France,2,1,0.5
Stade Rennes,Bastia,France,3,1,0.333333333333333
Stade Rennes,Bordeaux,France,6,0,0
Stade Rennes,Brest,France,2,0,0
Stade Rennes,Caen,France,3,1,0.333333333333333
Stade Rennes,Dijon FCO,France,1,1,1
Stade Rennes,Evian Thonon Gaillard,France,6,4,0.666666666666667
Stade Rennes,GFC Ajaccio,France,1,0,0
Stade Rennes,Guingamp,France,1,0,0
Stade Rennes,Lille,France,5,0,0
Stade Rennes,Lorient,France,6,0,0
Stade Rennes,Lyon,France,4,2,0.5
Stade Rennes,Marseille,France,7,2,0.285714285714286
Stade Rennes,Montpellier,France,3,1,0.333333333333333
Stade Rennes,Nantes,France,4,2,0.5
Stade Rennes,Nice,France,5,3,0.6
Stade Rennes,Paris Saint-Germain,France,5,2,0.4
Stade Rennes,Sochaux,France,4,1,0.25
Stade Rennes,St Etienne,France,4,1,0.25
Stade Rennes,Stade de Reims,France,5,3,0.6
Stade Rennes,Toulouse,France,5,2,0.4
Stade Rennes,Troyes,France,4,2,0.5
Stade Rennes,Valenciennes,France,4,0,0
Stoke City,Arsenal,England,2,1,0.5
Stoke City,Aston Villa,England,4,4,1
Stoke City,Bournemouth,England,2,2,1
Stoke City,Burnley,England,1,0,0
Stoke City,Cardiff,England,1,0,0
Stoke City,Chelsea,England,4,1,0.25
Stoke City,Crystal Palace,England,5,0,0
Stoke City,Everton,England,2,1,0.5
Stoke City,Fulham,England,1,1,1
Stoke City,Hull,England,1,0,0
Stoke City,Leicester City,England,2,0,0
Stoke City,Liverpool,England,4,1,0.25
Stoke City,Manchester City,England,2,0,0
Stoke City,Manchester Utd,England,6,1,0.166666666666667
Stoke City,Middlesbrough,England,1,0,0
Stoke City,Newcastle,England,2,0,0
Stoke City,Norwich City,England,3,1,0.333333333333333
Stoke City,QPR,England,2,1,0.5
Stoke City,Southampton,England,4,1,0.25
Stoke City,Sunderland,England,4,1,0.25
Stoke City,Swansea,England,5,2,0.4
Stoke City,Tottenham,England,2,1,0.5
Stoke City,Watford,England,1,1,1
Stoke City,West Brom,England,3,1,0.333333333333333
Stoke City,West Ham,England,5,2,0.4
Sunderland,Arsenal,Englang,3,0,0
Sunderland,Aston Villa,Englang,2,1,0.5
Sunderland,Bournemouth,Englang,2,1,0.5
Sunderland,Burnley,Englang,1,0,0
Sunderland,Cardiff,Englang,1,0,0
Sunderland,Chelsea,Englang,5,2,0.4
Sunderland,Crystal Palace,Englang,4,1,0.25
Sunderland,Everton,Englang,2,0,0
Sunderland,Fulham,Englang,1,1,1
Sunderland,Hull,Englang,2,0,0
Sunderland,Leicester City,Englang,2,1,0.5
Sunderland,Liverpool,Englang,3,0,0
Sunderland,Manchester City,Englang,5,0,0
Sunderland,Manchester Utd,Englang,4,1,0.25
Sunderland,Middlesbrough,Englang,1,0,0
Sunderland,Newcastle,Englang,2,1,0.5
Sunderland,Norwich City,Englang,1,0,0
Sunderland,Southampton,Englang,4,1,0.25
Sunderland,Stoke City,Englang,4,1,0.25
Sunderland,Swansea,Englang,4,1,0.25
Sunderland,Tottenham,Englang,5,0,0
Sunderland,Watford,Englang,1,0,0
Sunderland,West Brom,Englang,2,0,0
Sunderland,West Ham,Englang,3,0,0
SV Darmstadt 98,Bayer Leverkusen,Germany,2,0,0
SV Darmstadt 98,Bayern Munich,Germany,1,0,0
SV Darmstadt 98,Borussia Dortmund,Germany,1,0,0
SV Darmstadt 98,Borussia Monchengladbach,Germany,1,0,0
SV Darmstadt 98,Eintracht Frankfurt,Germany,1,0,0
SV Darmstadt 98,FC Augsburg,Germany,1,0,0
SV Darmstadt 98,FC Cologne,Germany,1,0,0
SV Darmstadt 98,FC Ingolstadt 04,Germany,1,0,0
SV Darmstadt 98,Hamburg SV,Germany,2,1,0.5
SV Darmstadt 98,Hannover 96,Germany,2,1,0.5
